Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
209,XAUUSD,Buy,05.03.2020 18:56:00,1663.01,2.24,05.03.2020 20:12:16,1668.01,1h 16m,1101.35,31985.77,-18.65,1101.35,31985.77,50000,1647600,0.84,29.96,tp 1668.00,IS
212,XAUUSD,Buy,05.03.2020 23:20:00,1669.82,2.63,05.03.2020 23:47:55,1670.76,27m 55s,225.25,32211.02,-21.97,225.25,32211.02,9400,1657000,0.17,30.13,,IS
213,XAUUSD,Buy,05.03.2020 23:20:01,1669.81,2.63,05.03.2020 23:47:55,1670.76,27m 54s,227.88,32438.9,-21.97,227.88,32438.9,9500,1666500,0.17,30.31,,IS
216,XAUUSD,Buy,05.03.2020 23:51:01,1670.34,2.64,05.03.2020 23:54:29,1671.65,3m 28s,323.79,32762.69,-22.05,323.79,32762.69,13100,1679600,0.24,30.55,,IS
217,XAUUSD,Buy,05.03.2020 23:51:01,1670.34,2.64,05.03.2020 23:54:29,1671.65,3m 28s,323.79,33086.48,-22.05,323.79,33086.48,13100,1692700,0.24,30.8,,IS
211,XAUUSD,Buy,05.03.2020 21:10:00,1669.57,2.25,06.03.2020 01:46:43,1674.62,4h 36m,997.29,34083.77,-138.96,997.29,34083.77,50500,1743200,0.75,31.54,tp 1674.62,IS
207,XAUUSD,Buy,05.03.2020 16:06:00,1657.22,3.12,06.03.2020 17:23:40,1661.31,1d 1h 17m,1083.58,35167.35,-192.5,1083.58,35167.35,40900,1784100,0.81,32.35,sl 1661.38,IS
222,XAUUSD,Buy,06.03.2020 23:00:00,1674.27,2.7,06.03.2020 23:35:03,1675.8,35m 3s,390.49,35557.84,-22.61,390.49,35557.84,15300,1799400,0.29,32.64,,IS
224,XAUUSD,Buy,09.03.2020 23:15:00,1676.08,2.71,09.03.2020 23:34:01,1677.39,19m 1s,332.29,35890.13,-22.72,332.29,35890.13,13100,1812500,0.25,32.89,,IS
226,XAUUSD,Buy,09.03.2020 23:38:01,1676.46,2.71,09.03.2020 23:45:45,1678.04,7m 44s,405.45,36295.58,-22.73,405.45,36295.58,15800,1828300,0.3,33.19,,IS
228,XAUUSD,Buy,09.03.2020 23:52:01,1676.07,2.71,09.03.2020 23:54:30,1678.14,2m 29s,538.24,36833.82,-22.73,538.24,36833.82,20700,1849000,0.39,33.58,,IS
230,XAUUSD,Buy,10.03.2020 23:00:00,1642.41,2.73,10.03.2020 23:00:04,1643.99,4s,408.91,37242.73,-22.43,408.91,37242.73,15800,1864800,0.3,33.88,,IS
232,XAUUSD,Buy,10.03.2020 23:01:00,1645.42,2.74,10.03.2020 23:02:33,1647.66,1m 33s,591.2,37833.93,-22.56,591.2,37833.93,22400,1887200,0.43,34.31,,IS
234,XAUUSD,Buy,10.03.2020 23:03:00,1647.69,2.75,10.03.2020 23:10:20,1649.36,7m 20s,436.58,38270.51,-22.67,436.58,38270.51,16700,1903900,0.32,34.63,,IS
236,XAUUSD,Buy,10.03.2020 23:34:01,1648.47,2.76,11.03.2020 01:03:15,1650.79,1h 29m,470.18,38740.69,-170.14,470.18,38740.69,23200,1927100,0.34,34.97,,IS
238,XAUUSD,Sell,11.03.2020 21:29:00,1639.43,2.41,11.03.2020 22:06:22,1634.43,37m 22s,1185.27,39925.96,-19.73,1185.27,39925.96,50000,1977100,0.85,35.82,tp 1634.44,IS
239,XAUUSD,Sell,11.03.2020 21:29:00,1639.41,2.91,11.03.2020 22:23:53,1644.19,54m 53s,-1414.87,38511.09,-23.89,-1414.87,38511.09,-47800,1929300,-1.01,34.81,sl 1644.19,IS
242,XAUUSD,Buy,11.03.2020 23:00:00,1636.73,2.77,11.03.2020 23:14:15,1638.18,14m 15s,378.98,38890.07,-22.67,378.98,38890.07,14500,1943800,0.27,35.08,,IS
244,XAUUSD,Buy,11.03.2020 23:16:00,1638.05,2.77,12.03.2020 01:25:12,1641.26,2h 9m,422.71,39312.78,-466.46,422.71,39312.78,32100,1975900,0.3,35.39,,IS
246,XAUUSD,Sell,12.03.2020 16:32:00,1605.82,2.46,12.03.2020 16:34:57,1600.9,2m 57s,1190.59,40503.37,-19.73,1190.59,40503.37,49200,2025100,0.85,36.24,tp 1601.03,IS
249,XAUUSD,Sell,12.03.2020 17:11:00,1584.88,2.53,12.03.2020 17:15:24,1579.99,4m 24s,1217.16,41720.53,-20.01,1217.16,41720.53,48900,2074000,0.87,37.11,tp 1580.08,IS
251,XAUUSD,Sell,12.03.2020 18:10:00,1573.53,2.57,12.03.2020 18:25:49,1578.91,15m 49s,-1402.91,40317.62,-20.25,-1402.91,40317.62,-53800,2020200,-0.99,36.12,sl 1578.87,IS
247,XAUUSD,Sell,12.03.2020 16:32:00,1605.79,2.75,12.03.2020 20:00:56,1600.8,3h 28m,1350.2,41667.82,-22.05,1350.2,41667.82,49900,2070100,0.96,37.08,sl 1600.70,IS
254,XAUUSD,Buy,12.03.2020 23:00:00,1571.45,2.83,12.03.2020 23:31:33,1572.82,31m 33s,365.46,42033.28,-22.25,365.46,42033.28,13700,2083800,0.26,37.34,,IS
